id,time(utc timestamp),amount(usd),price,side
0.0,1617354000424000.0,2000.0,60904.6785,asks
1.0,1617354000424000.0,8000.0,60905.1786,asks
2.0,1617354001788000.0,2000.0,60904.6785,asks
3.0,1617354001788000.0,4180.0,60909.1794,asks
4.0,1617354001788000.0,3820.0,60909.6795,asks
5.0,1617354002821000.0,2000.0,60904.6785,asks
6.0,1617354002821000.0,8000.0,60905.1786,asks
7.0,1617354003888000.0,2000.0,60904.6785,asks
8.0,1617354003888000.0,8000.0,60905.1786,asks
9.0,1617354005057000.0,2000.0,60904.6785,asks
10.0,1617354005057000.0,2300.0,60906.1788,asks
11.0,1617354005057000.0,5700.0,60909.6795,asks
12.0,1617354006084000.0,4180.0,60865.6707,asks
13.0,1617354006084000.0,5820.0,60866.1708,asks
14.0,1617354007280000.0,4470.0,60865.6707,asks
15.0,1617354007280000.0,5530.0,60866.1708,asks
16.0,1617354008655000.0,10000.0,60845.6667,asks
17.0,1617354010164000.0,6770.0,60845.1666,asks
18.0,1617354010164000.0,3230.0,60845.6667,asks
19.0,1617354011166000.0,2300.0,60845.1666,asks
20.0,1617354011166000.0,7700.0,60845.6667,asks
21.0,1617354012258000.0,6770.0,60845.1666,asks
22.0,1617354012258000.0,3230.0,60845.6667,asks
23.0,1617354013302000.0,6770.0,60845.1666,asks
24.0,1617354013302000.0,3230.0,60845.6667,asks
25.0,1617354014451000.0,6770.0,60845.1666,asks
26.0,1617354014451000.0,3230.0,60845.6667,asks
27.0,1617354015665000.0,6770.0,60845.1666,asks
28.0,1617354015665000.0,3230.0,60845.6667,asks
29.0,1617354016997000.0,6770.0,60845.1666,asks
30.0,1617354016997000.0,3230.0,60845.6667,asks
31.0,1617354018040000.0,6770.0,60845.1666,asks
32.0,1617354018040000.0,3230.0,60845.6667,asks
33.0,1617354019234000.0,10000.0,60845.6667,asks
34.0,1617354020474000.0,10000.0,60861.1698,asks
35.0,1617354021693000.0,4470.0,60860.6697,asks
36.0,1617354021693000.0,5530.0,60861.1698,asks
37.0,1617354022699000.0,4470.0,60860.6697,asks
38.0,1617354022699000.0,5530.0,60861.1698,asks
39.0,1617354024046000.0,4520.0,60858.1692,asks
40.0,1617354024046000.0,5480.0,60858.6693,asks
41.0,1617354025057000.0,4520.0,60858.1692,asks
42.0,1617354025057000.0,5480.0,60858.6693,asks
43.0,1617354026067000.0,4520.0,60858.1692,asks
44.0,1617354026067000.0,5480.0,60858.6693,asks
45.0,1617354027535000.0,4520.0,60858.1692,asks
46.0,1617354027535000.0,5480.0,60858.6693,asks
47.0,1617354028568000.0,10000.0,60870.1716,asks
48.0,1617354029641000.0,4520.0,60869.6715,asks
49.0,1617354029641000.0,5480.0,60870.1716,asks
50.0,1617354030984000.0,4520.0,60869.6715,asks
51.0,1617354030984000.0,5480.0,60870.1716,asks
52.0,1617354032077000.0,4520.0,60853.1682,asks
53.0,1617354032077000.0,5480.0,60853.6683,asks
54.0,1617354033528000.0,4520.0,60853.1682,asks
55.0,1617354033528000.0,5480.0,60853.6683,asks
56.0,1617354034567000.0,4520.0,60864.6705,asks
57.0,1617354034567000.0,5480.0,60865.1706,asks
58.0,1617354035568000.0,4520.0,60864.6705,asks
59.0,1617354035568000.0,5480.0,60865.1706,asks
60.0,1617354036754000.0,4520.0,60864.6705,asks
61.0,1617354036754000.0,5480.0,60865.1706,asks
62.0,1617354037945000.0,10000.0,60869.6715,asks
63.0,1617354039148000.0,4110.0,60869.6715,asks
64.0,1617354039148000.0,5890.0,60870.1716,asks
65.0,1617354040163000.0,4110.0,60869.6715,asks
66.0,1617354040163000.0,5890.0,60870.1716,asks
67.0,1617354041164000.0,4110.0,60869.6715,asks
68.0,1617354041164000.0,5890.0,60870.1716,asks
69.0,1617354042174000.0,4110.0,60869.6715,asks
70.0,1617354042174000.0,5890.0,60870.1716,asks
71.0,1617354043186000.0,4110.0,60869.6715,asks
72.0,1617354043186000.0,5890.0,60870.1716,asks
73.0,1617354044190000.0,4110.0,60869.6715,asks
74.0,1617354044190000.0,5890.0,60870.1716,asks
75.0,1617354045199000.0,4110.0,60869.6715,asks
76.0,1617354045199000.0,5890.0,60870.1716,asks
77.0,1617354046208000.0,4110.0,60869.6715,asks
78.0,1617354046208000.0,5890.0,60870.1716,asks
79.0,1617354047211000.0,4110.0,60869.6715,asks
80.0,1617354047211000.0,5890.0,60870.1716,asks
81.0,1617354048261000.0,4110.0,60869.6715,asks
82.0,1617354048261000.0,5890.0,60870.1716,asks
83.0,1617354049322000.0,4110.0,60869.6715,asks
84.0,1617354049322000.0,5890.0,60870.1716,asks
85.0,1617354050336000.0,10000.0,60870.1716,asks
86.0,1617354051353000.0,4110.0,60854.1684,asks
87.0,1617354051353000.0,5890.0,60854.6685,asks
88.0,1617354052362000.0,4110.0,60854.1684,asks
89.0,1617354052362000.0,5890.0,60854.6685,asks
90.0,1617354053396000.0,4110.0,60854.1684,asks
91.0,1617354053396000.0,5890.0,60854.6685,asks
92.0,1617354054692000.0,3970.0,60869.6715,asks
93.0,1617354054692000.0,6030.0,60870.1716,asks
94.0,1617354056118000.0,3970.0,60869.6715,asks
95.0,1617354056118000.0,6030.0,60870.1716,asks
96.0,1617354057158000.0,10000.0,60870.1716,asks
97.0,1617354058289000.0,3970.0,60869.6715,asks
98.0,1617354058289000.0,6030.0,60870.1716,asks
99.0,1617354059295000.0,3970.0,60869.6715,asks
100.0,1617354059295000.0,6030.0,60870.1716,asks
101.0,1617354060299000.0,3970.0,60869.6715,asks
102.0,1617354060299000.0,6030.0,60870.1716,asks
103.0,1617354061313000.0,5870.0,60863.6703,asks
104.0,1617354061313000.0,4130.0,60864.1704,asks
105.0,1617354062324000.0,5870.0,60863.6703,asks
106.0,1617354062324000.0,4130.0,60864.1704,asks
107.0,1617354063725000.0,2000.0,60863.6703,asks
108.0,1617354063725000.0,6000.0,60869.6715,asks
109.0,1617354063725000.0,2000.0,60870.1716,asks
110.0,1617354065283000.0,2000.0,60863.6703,asks
111.0,1617354065283000.0,3870.0,60869.1714,asks
112.0,1617354065283000.0,4130.0,60869.6715,asks
113.0,1617354066366000.0,2000.0,60863.6703,asks
114.0,1617354066366000.0,3870.0,60869.1714,asks
115.0,1617354066366000.0,4130.0,60869.6715,asks
116.0,1617354067411000.0,5800.0,60863.6703,asks
117.0,1617354067411000.0,4200.0,60864.1704,asks
118.0,1617354068694000.0,3800.0,60853.6683,asks
119.0,1617354068694000.0,6200.0,60854.1684,asks
120.0,1617354070050000.0,2000.0,60863.6703,asks
121.0,1617354070050000.0,3800.0,60869.1714,asks
122.0,1617354070050000.0,4200.0,60869.6715,asks
123.0,1617354071383000.0,2000.0,60863.6703,asks
124.0,1617354071383000.0,8000.0,60864.1704,asks
125.0,1617354072394000.0,5800.0,60863.6703,asks
126.0,1617354072394000.0,4200.0,60864.1704,asks
127.0,1617354073395000.0,2000.0,60863.6703,asks
128.0,1617354073395000.0,8000.0,60864.1704,asks
129.0,1617354074399000.0,2000.0,60867.171,asks
130.0,1617354074399000.0,8000.0,60867.6711,asks
131.0,1617354075411000.0,2000.0,60867.171,asks
132.0,1617354075411000.0,8000.0,60867.6711,asks
133.0,1617354076420000.0,2000.0,60867.171,asks
134.0,1617354076420000.0,8000.0,60867.6711,asks
135.0,1617354077421000.0,2000.0,60867.171,asks
136.0,1617354077421000.0,8000.0,60867.6711,asks
137.0,1617354078436000.0,2000.0,60867.171,asks
138.0,1617354078436000.0,8000.0,60867.6711,asks
139.0,1617354079745000.0,2000.0,60867.171,asks
140.0,1617354079745000.0,3800.0,60869.6715,asks
141.0,1617354079745000.0,4200.0,60870.1716,asks
142.0,1617354080949000.0,5800.0,60867.171,asks
143.0,1617354080949000.0,4200.0,60867.6711,asks
144.0,1617354082253000.0,5910.0,60867.171,asks
145.0,1617354082253000.0,4090.0,60867.6711,asks
146.0,1617354083258000.0,5910.0,60867.171,asks
147.0,1617354083258000.0,4090.0,60867.6711,asks
148.0,1617354084275000.0,5910.0,60867.171,asks
149.0,1617354084275000.0,4090.0,60867.6711,asks
150.0,1617354085278000.0,5910.0,60867.171,asks
151.0,1617354085278000.0,4090.0,60867.6711,asks
152.0,1617354086334000.0,2000.0,60867.171,asks
153.0,1617354086334000.0,3910.0,60869.6715,asks
154.0,1617354086334000.0,4090.0,60870.1716,asks
155.0,1617354087367000.0,2000.0,60867.171,asks
156.0,1617354087367000.0,8000.0,60870.1716,asks
157.0,1617354088371000.0,2000.0,60867.171,asks
158.0,1617354088371000.0,3910.0,60869.6715,asks
159.0,1617354088371000.0,4090.0,60870.1716,asks
160.0,1617354089499000.0,5910.0,60867.171,asks
161.0,1617354089499000.0,4090.0,60870.1716,asks
162.0,1617354090514000.0,2000.0,60867.171,asks
163.0,1617354090514000.0,8000.0,60867.6711,asks
164.0,1617354091526000.0,2000.0,60867.171,asks
165.0,1617354091526000.0,8000.0,60867.6711,asks
166.0,1617354092531000.0,5910.0,60867.171,asks
167.0,1617354092531000.0,4090.0,60867.6711,asks
168.0,1617354093536000.0,2000.0,60867.171,asks
169.0,1617354093536000.0,8000.0,60867.6711,asks
170.0,1617354094668000.0,5910.0,60867.171,asks
171.0,1617354094668000.0,4090.0,60867.6711,asks
172.0,1617354095862000.0,2000.0,60867.171,asks
173.0,1617354095862000.0,8000.0,60867.6711,asks
174.0,1617354096929000.0,2000.0,60867.171,asks
175.0,1617354096929000.0,8000.0,60867.6711,asks
176.0,1617354098062000.0,2000.0,60867.171,asks
177.0,1617354098062000.0,3970.0,60869.6715,asks
178.0,1617354098062000.0,4030.0,60870.1716,asks
179.0,1617354099420000.0,2000.0,60867.171,asks
180.0,1617354099420000.0,3970.0,60869.6715,asks
